date,temp,temp_max,temp_min,prcp
2015-07-01 00:00:00 UTC,63.4,77.0,55.9,0.0
2015-07-02 00:00:00 UTC,60.3,72.0,46.0,0.0
2015-07-03 00:00:00 UTC,62.9,77.0,46.0,0.0
2015-07-04 00:00:00 UTC,68.5,82.0,48.9,0.0
2015-07-05 00:00:00 UTC,73.1,82.9,55.9,0.0
2015-07-06 00:00:00 UTC,74.3,82.9,61.0,0.0
2015-07-07 00:00:00 UTC,66.2,80.1,59.0,0.77
2015-07-08 00:00:00 UTC,61.7,71.1,51.1,0.0
2015-07-09 00:00:00 UTC,64.8,79.0,51.1,0.0
2015-07-10 00:00:00 UTC,69.5,82.0,53.1,0.0
2015-07-11 00:00:00 UTC,71.5,82.0,55.9,0.0
2015-07-12 00:00:00 UTC,71.8,84.0,60.1,0.0
2015-07-13 00:00:00 UTC,77.7,88.0,61.0,0.55
2015-07-14 00:00:00 UTC,74.1,88.0,64.9,0.33
2015-07-15 00:00:00 UTC,66.8,82.0,52.0,0.0
2015-07-16 00:00:00 UTC,66.8,77.0,52.0,0.0
2015-07-17 00:00:00 UTC,76.7,91.0,60.1,0.83
2015-07-18 00:00:00 UTC,78.7,91.0,69.1,1.09
2015-07-19 00:00:00 UTC,77.0,88.0,69.1,0.03
2015-07-20 00:00:00 UTC,74.3,82.0,66.0,0.0
2015-07-21 00:00:00 UTC,70.8,82.0,57.9,0.0
2015-07-22 00:00:00 UTC,70.8,82.0,57.9,0.0
2015-07-23 00:00:00 UTC,72.4,84.9,57.9,0.0
2015-07-24 00:00:00 UTC,73.2,84.9,57.9,0.0
2015-07-25 00:00:00 UTC,79.3,88.0,62.1,0.0
2015-07-26 00:00:00 UTC,74.1,88.0,61.0,0.0
2015-07-27 00:00:00 UTC,73.8,87.1,60.1,0.0
2015-07-28 00:00:00 UTC,77.1,87.1,60.1,0.0
2015-07-29 00:00:00 UTC,78.8,86.0,66.9,1.42
2015-07-30 00:00:00 UTC,75.7,86.0,64.9,0.0
2015-07-31 00:00:00 UTC,75.1,86.0,64.9,0.0
2015-08-01 00:00:00 UTC,72.8,86.0,61.0,0.0
2015-08-02 00:00:00 UTC,79.6,90.0,61.0,0.0
2015-08-03 00:00:00 UTC,73.7,90.0,62.1,0.0
2015-08-04 00:00:00 UTC,69.0,80.1,55.9,0.0
2015-08-05 00:00:00 UTC,69.1,87.1,53.1,0.0
2015-08-06 00:00:00 UTC,68.3,87.1,53.1,0.0
2015-08-07 00:00:00 UTC,71.8,81.0,55.0,0.0
2015-08-08 00:00:00 UTC,67.8,78.1,61.0,0.36
2015-08-09 00:00:00 UTC,69.7,81.0,61.0,0.0
2015-08-10 00:00:00 UTC,75.3,82.9,64.0,0.0
2015-08-11 00:00:00 UTC,70.2,82.9,57.9,0.01
2015-08-12 00:00:00 UTC,68.8,82.0,55.0,0.0
2015-08-13 00:00:00 UTC,74.5,84.0,55.0,0.0
2015-08-14 00:00:00 UTC,78.6,91.9,66.9,0.0
2015-08-15 00:00:00 UTC,79.6,91.9,68.0,0.0
2015-08-16 00:00:00 UTC,79.9,91.0,68.0,0.0
2015-08-17 00:00:00 UTC,76.8,88.0,66.9,0.0
2015-08-18 00:00:00 UTC,72.5,86.0,66.0,0.34
2015-08-19 00:00:00 UTC,65.5,80.1,60.1,1.52
2015-08-20 00:00:00 UTC,62.2,71.1,57.0,0.01
2015-08-21 00:00:00 UTC,64.6,81.0,50.0,0.02
2015-08-22 00:00:00 UTC,72.1,81.0,50.0,0.0
2015-08-23 00:00:00 UTC,67.6,80.1,60.1,0.03
2015-08-24 00:00:00 UTC,60.8,71.1,54.0,0.01
2015-08-25 00:00:00 UTC,60.2,68.0,54.0,0.0
2015-08-26 00:00:00 UTC,60.6,71.1,55.0,0.0
2015-08-27 00:00:00 UTC,63.1,75.0,50.0,0.0
2015-08-28 00:00:00 UTC,64.1,75.0,50.0,0.0
2015-08-29 00:00:00 UTC,63.9,69.1,59.0,1.78
2015-08-30 00:00:00 UTC,66.8,73.9,60.1,0.02
2015-08-31 00:00:00 UTC,69.2,82.9,55.9,0.0
2016-07-01 00:00:00 UTC,63.4,79.0,55.9,0.39
2016-07-02 00:00:00 UTC,65.8,75.0,54.0,0.0
2016-07-03 00:00:00 UTC,65.4,77.0,51.1,0.0
2016-07-04 00:00:00 UTC,65.2,77.0,51.1,0.0
2016-07-05 00:00:00 UTC,75.2,84.0,70.0,0.0
2016-07-06 00:00:00 UTC,75.7,82.9,64.4,0.49
2016-07-07 00:00:00 UTC,73.2,84.9,64.9,0.07
2016-07-08 00:00:00 UTC,76.4,84.9,64.9,0.13
2016-07-09 00:00:00 UTC,70.5,80.1,60.8,0.0
2016-07-10 00:00:00 UTC,70.5,81.0,59.0,0.0
2016-07-11 00:00:00 UTC,79.0,90.0,59.0,0.0
2016-07-12 00:00:00 UTC,78.7,90.0,70.0,0.0
2016-07-13 00:00:00 UTC,78.4,87.1,71.1,0.01
2016-07-14 00:00:00 UTC,76.0,87.1,68.0,0.01
2016-07-15 00:00:00 UTC,66.6,82.9,61.0,0.0
2016-07-16 00:00:00 UTC,65.5,79.0,51.1,0.01
2016-07-17 00:00:00 UTC,73.1,82.0,51.1,0.18
2016-07-18 00:00:00 UTC,75.7,84.9,62.6,0.18
2016-07-19 00:00:00 UTC,74.2,87.1,61.0,0.0
